id,type,function,pauses,description,Output,Logic,file_url
E2-03-01,message,INT,FALSE,"Spoky pregunta: Si tuvieras un contenedor mágico en tu mochila que solo puede guardar UNA cosa a la vez, ¿qué guardarías y qué nombre le pondrías al contenedor?",message,,
E2-03-02,message,INT,TRUE,"Conecta la respuesta del usuario con el concepto de variable: el nombre que eligió es el nombre de la variable, y lo que guardó es el valor. Refuerza que si mete algo nuevo, lo anterior desaparece.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E2-04,image,PED,FALSE,Tarjeta Ley Física #1 — Ley del Cristal Único con código: x = 5 / x = 7 / print(x) → 7,image,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-04.png
E2-05,comic,PED,FALSE,"Tres tipos de cristal — cristal entero (int), líquido (float) y de palabras (str); no se mezclan sin traducción",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-05.png
E2-06,cheatsheet,PED,FALSE,Cheatsheet: Tipos de Cristal — int/float/str con ejemplo visual y código Python,cheatsheet,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-06.png
E2-06-01,message,INT,FALSE,"Spoky le muestra tres cosas: su edad, el precio de un helado (ej: 2.50) y su nombre. Le pregunta: ¿cuál es un cristal entero, cuál es líquido y cuál es de palabras?",message,,
E2-06-02,message,INT,TRUE,"Interpreta la respuesta del usuario y refuerza la analogía: los números sin punto son int, con punto son float, y las palabras son str. Da un dato curioso: para Python, ""42"" con comillas es str, no int.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E2-08,comic,PED,FALSE,El Altavoz y la Radio — print() y input(); la radio SIEMPRE entrega cristal de palabras aunque le digas un número,comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-08.png
E2-09,image,PED,FALSE,El Traductor Universal — flujo input() → str → int() → int como un embudo de conversión,image,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-09.png
E2-10-01,message,INT,FALSE,"Spoky plantea: La Radio de la nave le preguntó a un cadete su edad y el cadete respondió 12. Spoky pregunta: ¿la Radio le entregó un cristal entero (int) o un cristal de palabras (str)? ¡Cuidado, es trampa!",message,,
E2-10-02,message,INT,TRUE,"Refuerza que la Radio (input) SIEMPRE entrega cristal de palabras (str), aunque el cadete haya dicho un número. Por eso existe el Traductor Universal: int() convierte el str a int.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E2-11,cheatsheet,PED,FALSE,Cheatsheet: Panel de Cálculo — operadores + - * / // % ** con ejemplos,cheatsheet,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-11.png
E2-12,comic,NAR,FALSE,La Waku-Go conoce a su copiloto — programa que pide nombre y edad; la nave saluda personalizado y los contenedores se iluminan: Sistema de energía ONLINE,comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E2-12.png
E2-12-01,message,INT,FALSE,"Spoky dice: La nave acaba de conocer a su copiloto. Si la nave quisiera saludar a tu mejor amigo(a), ¿qué dos cosas necesitaría preguntarle primero? Piensa como la nave.",message,,
E2-12-02,message,INT,TRUE,"Conecta la respuesta con el programa visto: la nave necesita input() para cada dato, guardarlo en una variable, y usar print() para saludar. Felicita al usuario: ¡ya piensa como un programador!",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E3-01,comic,NAR,FALSE,"El primer cruce — la Waku-Go halla un cruce (asteroides, agujero negro, camino libre); necesita aprender a decidir",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-01.png
E3-02,comic,PED,FALSE,"SI hay asteroides, esquiva — cruce de 3 caminos; la nave evalúa en orden y toma uno solo. Los pilotos lo llaman if / elif / else",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-02.png
E3-03,video,PED,FALSE,"if = decidir — la nave pierde energía, pantalla muestra if energia < 20: y aterriza. Ancla: if = decidir",video,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-03.mp4
E3-04,image,PED,FALSE,Tarjeta Ley Física #2 — Ley de la Ruta Única con código if/elif/else,image,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-04.png
E3-04-01,message,INT,FALSE,"Spoky plantea: Estás piloteando la nave y el sensor dice que hay 80% de combustible. Tienes 3 rutas: SI combustible > 90 ir por el atajo peligroso, SI combustible > 50 ir por la ruta normal, SI NO aterrizar a recargar. ¿Cuál toma la nave?",message,,
E3-04-02,message,INT,TRUE,"Refuerza la Ley de la Ruta Única: la nave evalúa en orden y toma la PRIMERA condición que se cumple. Con 80% no pasa el primer if (>90), pero sí el elif (>50), así que va por la ruta normal. El else ni se evalúa.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E3-05,comic,PED,FALSE,Los Sensores de la nave — > < == != >= <= como pantallas de sensor; advertencia == (comparar) ≠ = (asignar),comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-05.png
E3-06-01,message,INT,FALSE,"Spoky propone un juego rápido: dice tres frases y el usuario debe decir si cada una es = (guardar) o == (comparar). Las frases: 'vida = 100', 'vida == 0', 'nombre = input()'.",message,,
E3-06-02,message,INT,TRUE,"Interpreta la respuesta y refuerza: = es para GUARDAR un valor en un contenedor, == es para PREGUNTAR si dos cosas son iguales. Es el error más famoso de los programadores, ¡hasta Spoky lo comete!",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E3-07,cheatsheet,PED,FALSE,Cheatsheet: Panel de Sensores — todos los operadores de comparación con ejemplo estelar y código Python,cheatsheet,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-07.png
E3-08,comic,PED,FALSE,Sensores combinados — dos condiciones simultáneas; SI asteroides Y poca energía / SI asteroides O tormenta; AND/OR como sensores conectados,comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-08.png
E3-09,video,PED,FALSE,AND y OR — Spoky con dos pantallas de sensor muestra cómo se combinan. Ancla: AND = las dos; OR = al menos una,video,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-09.mp4
E3-09-01,message,INT,FALSE,"Spoky pregunta: Para que te dejen ir a una fiesta espacial necesitas: haber terminado la tarea Y tener permiso de tu adulto. Si terminaste la tarea pero NO tienes permiso, ¿te dejan ir? ¿Y si usáramos OR en vez de AND?",message,,
E3-09-02,message,INT,TRUE,Refuerza: con AND necesitas que LAS DOS condiciones se cumplan (no te dejan ir). Con OR basta que AL MENOS UNA se cumpla (sí te dejan ir). Spoky dice que en su planeta usan AND para las misiones peligrosas y OR para las fiestas.,message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E3-10,comic,NAR,FALSE,"El Cinturón de Asteroides — el programa esquiva, acelera y frena según condiciones; sale del cinturón: ¡Navegador Estelar ONLINE!",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E3-10.png
E4-01,comic,NAR,FALSE,"Mil órdenes — Spoky escribe la ignición línea por línea (1,2,3…1000), agotado: tiene que haber una forma mejor",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-01.png
E4-02,comic,PED,FALSE,Ignición sostenida — el motor gira MIENTRAS la temperatura no alcance el umbral; al llegar se detiene. Los pilotos lo llaman while,comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-02.png
E4-03,video,PED,FALSE,"while = repetir mientras — Spoky junto al motor, el medidor de temperatura sube. Ancla: while = repite mientras la condición sea verdadera",video,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-03.mp4
E4-03-01,message,INT,FALSE,Spoky pregunta: Imagina que estás calentando el motor de la nave. Empieza en 0 grados y sube de 10 en 10. El motor necesita llegar a 100 para arrancar. ¿Cuántas vueltas da el while antes de detenerse?,message,,
E4-03-02,message,INT,TRUE,"Interpreta la respuesta y refuerza: el while repite MIENTRAS la condición sea verdadera (temperatura < 100). Cada vuelta suma 10, así que da 10 vueltas (0,10,20...90). Cuando llega a 100 la condición es falsa y se detiene. ¡Sin esa condición, giraría para siempre!",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E4-04,image,PED,FALSE,Tarjeta Ley Física #3 — Ley de la Condición de Salida; while con y sin condición alcanzable,image,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-04.png
E4-06,comic,PED,FALSE,"La cuenta regresiva — Spoky cuenta de 10 a 0 con for; el for recorre lo que le des: números, letras, cristales. Los pilotos lo llaman for",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-06.png
E4-07,video,PED,FALSE,"for = recorre la lista — Spoky con una secuencia de cristales que el for recorre uno a uno. Ancla: for = recorre cada elemento, uno por uno",video,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-07.mp4
E4-07-01,message,INT,FALSE,"Spoky dice: Tengo una caja con 4 cristales: 'rojo', 'azul', 'verde', 'dorado'. Si uso un for para revisar cada cristal, ¿cuántas veces se repite el ciclo? ¿Y cuál es el último cristal que revisa?",message,,
E4-07-02,message,INT,TRUE,"Refuerza: el for recorre CADA elemento de la lista, uno por uno, en orden. 4 cristales = 4 vueltas. El último es 'dorado'. La diferencia con while: el for ya sabe cuántos hay, no necesita condición de salida. Spoky dice que el for es su favorito porque nunca se pierde.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
E4-08,cheatsheet,PED,FALSE,"Cheatsheet: while vs for — cuándo usar cada uno, con analogía estelar y código Python lado a lado",cheatsheet,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-08.png
E4-09,comic,NAR,FALSE,Los motores rugen — el copiloto escribe la ignición; los motores giran y la nave vibra: ¡Motores de Salto ONLINE! ¡La nave está lista!,comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/E4-09.png
EF-01,comic,NAR,FALSE,"Protocolo de Despegue — Spoky revisa los 4 sistemas (check x4): solo falta el programa de despegue, y eso lo escribes tú",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/EF-01.png
EF-02,image,PED,FALSE,Mapa de sistemas — resumen de los 4 sistemas reparados: print → variables → if → while/for,image,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/EF-02.png
EF-02-01,message,INT,FALSE,"Spoky dice: Antes de escribir el Protocolo de Despegue, necesito saber si recuerdas los 4 sistemas. Dime con tus palabras: ¿qué concepto de Python usamos para reparar cada uno? Pista: print, variables, if, y loops.",message,,
EF-02-02,message,INT,TRUE,"Interpreta la respuesta y conecta cada sistema con su concepto: Comunicación (print), Energía (variables), Navegación (if/elif/else), Motores (while/for). Spoky dice: ¡Increíble, recuerdas todo! Estás listo para el despegue, Piloto.",message,"No existe un criterio de éxito para la respuesta, se interpreta y se da el feedback.",
EF-03,video,NAR,FALSE,"El Despegue — cuenta regresiva, motores encendidos, la nave despega de la Tierra y el sueño del Juramento aparece: Piloto Estelar… ¡Waku Code!",video,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/EF-03.mp4
EF-07,comic,NAR,FALSE,"Nuevas galaxias — la Waku-Go en el espacio, Spoky mira galaxias desconocidas: el viaje a casa recién empieza",comic,,https://usc1.contabostorage.com/efbb2fde41344653916ec481499f7b4b:waku-code/assets/EF-07.png
